"source","id","doi","title","authors","journal","published_date","url","abstract"
"pubmed","42717734","10.1017/S0007485326101308","Molecular characterization of vitellogenin and its receptor with CRISPR-based sgRNA validation in the legume pod borer, Maruca vitrata (Geyer) (Lepidoptera: Crambidae).","Pradeep, Chalapathi; Sujatha, Parvathy Madhusoodanan; Nagesha, Somakalahalli Narasimhappa; Asokan, Ramasamy; Karuppannasamy, Ashok","Bulletin of entomological research","2026-09-10","https://pubmed.ncbi.nlm.nih.gov/42717734/","Maruca vitrata, the legume pod borer, causes yield losses of up to 80% in grain legumes. Increasing insecticide resistance and environmental concerns necessitate sustainable pest management alternatives. In the present study, the complete vitellogenin (Vg) coding sequence (CDS), a key reproductive gene involved in oogenesis and embryonic development, was cloned and molecularly characterised from M. vitrata. The assembled Vg CDS ( approximately 5.3 kb) shared 99.04% sequence identity with the reported M. vitrata Vg sequence (MG799570.1). Phylogenetic analysis demonstrated close evolutionary association with related Lepidopteran species, while protein domain analysis identified three conserved domains, namely LPD_N, DUF1943, and VWD. Among these, the single exon-encoded LPD_N domain was selected as the target region for CRISPR/Cas9-mediated editing. Homology models of Vg and vitellogenin receptor (VgR) (Global Model Quality Estimation (GMQE): 0.58 and 0.51) showed a favourable interaction by protein-protein docking (score: -295.66). Three single-guide RNAs (sgRNAs) were designed, synthesised through in-vitro transcription, and evaluated using in vitro cleavage assays. sgRNA1 targeting the LPD_N domain and sgRNA2 targeting the signal peptide region exhibited efficient site-specific cleavage activity, whereas sgRNA3 failed to induce cleavage because of an unfavourable secondary structure that likely impaired Cas9-sgRNA complex formation. Overall, this study provides the first CRISPR-oriented functional characterisation and sgRNA validation of the M. vitrata Vg gene, together with structural characterisation of VgR and Vg-VgR interaction analysis, providing preliminary molecular resources for future CRISPR/Cas9 studies and supporting future embryo microinjection and heritable genome editing for sustainable management of M. vitrata."
"pubmed","42717063","10.1038/s41594-026-01894-5","Architecture of a DNA-guided Cas12a.","Ocampo, Rodrigo Fregoso; Orosco, Carlos; Huang, Boyu; West, Madeline S; Parker, Bay; Jain, Piyush K; Taylor, David W","Nature structural & molecular biology","2026-09-10","https://pubmed.ncbi.nlm.nih.gov/42717063/","CRISPR-Cas systems have largely been restricted to RNA-guided nucleases. Here, we present the cryo-electron microscopy structure of Acidaminococcus sp. Cas12a bound to a pseudo-DNA (PsiDNA) guide and RNA target, revealing how Cas12a can accomplish DNA-guided RNA recognition. The PsiDNA hairpin bridges the recognition and nuclease lobes, mimicking a PAM-proximal duplex and positioning the spacer to allow formation of a canonical RNA-DNA heteroduplex along the recognition lobe. This provides a structural framework for its activity and provides a potential blueprint for future engineering."
"pubmed","42716355","10.1016/j.biotechadv.2026.109033","Emerging strategies for regulating Cas12a and Cas13a trans-cleavage activity in biosensing.","Wang, Xiaohui; Huang, Yaru; Zhang, Lei; Zheng, Le","Biotechnology advances","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716355/","CRISPR-Cas12a and Cas13a have become widely used platforms for molecular diagnostics and biosensing, because target recognition can trigger collateral nucleic acid cleavage for signal amplification. Leveraging this mechanism, numerous biosensing platforms have been developed with high sensitivity, high specificity, and compatibility with point-of-care testing. However, their analytical performance depends strongly on the regulation of trans-cleavage activity. This review summarizes recent advances in the molecular basis and activity regulation of CRISPR-Cas12a- and Cas13a-based biosensing systems. We discuss the target-recognition and conformational activation mechanisms underlying Cas12a and Cas13a trans-cleavage. We then examine how Cas effector properties, crRNA architecture and composition, activator accessibility and structure, reaction conditions, and reporter design regulate target-induced activation and signal output. We further highlight the use of these strategies for controlled activation, tunable signal generation, and broader biosensing applications. By organizing these strategies across different regulatory layers, this review aims to provide a framework for designing more controllable and adaptable CRISPR trans-cleavage biosensing systems."
"pubmed","42716156","10.1016/j.ijbiomac.2026.154405","PDK1 signaling in cancer: Current status and future perspectives.","Honnasiddappa, Darshana Ballagere; Ramar, Mohankumar; Biju, Tincy; Sajjan, Mallikarjun; Venkatesh, Chidananda; Mahadeva, Nayan Kumar; Kunjiappan, Selvaraj; Ammunje, Damodar Nayak; Pavadai, Parasuraman","International journal of biological macromolecules","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716156/","Dysregulation of signaling pathways governing cell growth, survival, metabolism, angiogenesis, invasion, metastasis, and therapeutic response drives cancer progression. The AGC family of kinases, such as AKT, S6K, SGK, RSK, and PKC, is important for downstream signaling. The 3-phosphoinositide-dependent protein kinase-1 protein (PDK1), encoded by the PDPK1 gene, phosphorylates activation-loop residues in these kinases and links phosphoinositide signaling to cellular growth, survival, metabolism, and transformation. The structure, regulation, cancer-associated functions, and therapeutic targeting of PDK1 are critically reviewed, with a focus on the pleckstrin homology domain, PIF pocket-mediated substrate docking, the kinase domain, and reported non-catalytic interactions. Experimental results from breast, lung, gastric, liver, hematological, and melanoma models suggest that dysregulated PDK1 signaling can increase the output of the PI3K-AKT-mTOR pathway, invasion, metabolic adaptation, and resistance to specific hormonal, chemotherapeutic, and targeted therapies. In some preclinical models, genetic suppression of PDK1 using siRNA, shRNA, or CRISPR-based methods has been shown to slow tumor cell growth and restore drug sensitivity. However, PDK1 remains an unvalidated therapeutic target in the clinic. There is no selective PDK1 inhibitor that has been clinically approved, and most pharmacological candidates are based on biochemical and cellular data. There is limited genetic evidence and in vivo evidence, and no validated clinical evidence specific to PDK1. Emerging PIF-pocket ligands, dual-site inhibitors, allosteric modulators, and protein-degradation strategies are therefore investigational strategies that need to be improved in terms of selectivity, pharmacokinetic characterization, tumor-context validation, and biomarker-guided evaluation."
"pubmed","42710586","10.1016/j.jgar.2026.09.001","Clonal diversity and genetic characteristics of extraintestinal pathogenic Escherichia coli in northern Japan: identification of the potentially prevalent clones phylogroup B2-ST357 and ST1193.","Suzuki, Satoshi; Aung, Meiji Soe; Matsubara, Kana; Kimura, Yuuki; Ito, Masahiko; Urushibara, Noriko; Kawaguchiya, Mitsuyo; Ohashi, Nobuhide; Higuchi, Toru; Takahashi, Satoshi; Kobayashi, Nobumichi","Journal of global antimicrobial resistance","2026-09-08","https://pubmed.ncbi.nlm.nih.gov/42710586/","OBJECTIVES: Extraintestinal pathogenic Escherichia coli (ExPEC) is a leading cause of bloodstream and urinary tract infections, often showing multiple drug resistance associated with production of extended-spectrum beta-lactamases (ESBLs). The present study aimed at revealing the clonal structure and diversity of ExPEC in northern Japan and its relation to antimicrobial resistance (AMR) profiles and determinants, and genetic features. METHODS: Phylogenetic group and sequence type (ST) based on MLST scheme were determined for clinical isolates of ExPEC. PCR and sequencing were used to identify AMR determinants, virulence factors and CRISPR-Cas systems, along with antimicrobial susceptibility test by the broth microdilution method. RESULTS: A total of 454 ExPEC isolates (150 from blood and 304 from urine/other specimens) were collected for 6 months. The major phylogenetic group was B2 (79.5%), and the remaining were D (9.9%), B1 (5.7%), F (3.1%), and other groups (A, C, G; 1.8% in all). Among the 68 STs identified, ST131 was the most common (33.7%), followed by ST95 (15.6%), ST357 (9.9%), ST1193 (7%), and ST73 (4%), all of which belonged to phylogroup B2. Five types of ESBL genes including the dominant bla(CTX-M-15) or bla(CTX-M-27) were detected in 17% of isolates, which belonged mostly to the ST131 complex. CRISPR-Cas type I-E was present mostly in phylogroup B1 and D, while I-F in 3 STs of phylogroup B2. CONCLUSION: The potentially increased prevalence of ST357, ST1193, and animal-related clones was revealed to be novel clonal features of ExPEC in northern Japan."
"pubmed","42709801","10.1073/pnas.2615890123","A host-encoded prophage targets a Candidate Phyla Radiation bacterium and shapes episymbiotic interactions.","Kumar, Ajay; Nahar, Nusrat; Chouhan, Deepak; McLean, Jeffrey S; Bor, Batbileg; Dong, Pu-Ting; He, Xuesong","Proceedings of the National Academy of Sciences of the United States of America","2026-09-08","https://pubmed.ncbi.nlm.nih.gov/42709801/","The Patescibacteriota, also known as the Candidate Phyla Radiation (CPR), represent a large lineage of ultrasmall bacteria with highly reduced genomes and obligate dependence on bacterial hosts. Although genomic analyses have revealed CRISPR-Cas and restriction-modification systems in many CPR genomes, no cognate bacteriophages (phages) have been isolated, leaving CPR-phage interactions unexplored. Nanosynbacter lyticus TM7x, the first cultivated CPR bacterium, grows episymbiotically on its host, Schaalia odontolytica XH001, in the human oral microbiome. Here, we identify Xhp1, an inducible prophage of XH001 that is preferentially activated during episymbiosis with TM7x. Released Xhp1 particles infect prophage-free XH001 via distinct strategies determined by host growth mode, establishing lysogeny under planktonic conditions but driving lytic infection during surface-associated growth. Xhp1 also binds efficiently to TM7x and exhibits limited infection under the conditions tested, indicating direct phage-CPR interactions. Importantly, TM7x modulates Xhp1 availability in a spatially dependent manner. In planktonic culture, free-floating TM7x reduces lysogenic conversion of XH001DeltaXhp1, consistent with TM7x acting as a phage sink that lowers effective phage concentration. In contrast, during surface-associated growth, TM7x increases XH001DeltaXhp1 susceptibility to lytic infection, likely by locally concentrating phage particles within a constrained niche. These results demonstrate that CPR bacteria can regulate viral encounter rates through spatial organization. In spatially structured environments such as oral biofilms, such modulation may shape infection dynamics and community structure. Together, this work characterizes the first CPR-targeting phage and reveals a an important role for phages in CPR-host bacteria interactions."
"pubmed","42708327","10.1016/j.gim.2026.102716","Evaluating the pathogenic significance of unique chromosomal variants in craniosynostosis using patient-derived induced pluripotent stem cells and mouse modelling.","Korona, Dagmara; Hashimoto, Akiko Soneda; Pei, Yang; Calpena, Eduardo; Sloane-Stanley, Jackie; Riva, Simone G; Schwessinger, Ron; Forzano, Francesca; Chintawar, Satyan; Duggal, Galbha; Wall, Steven A; Hughes, Jim R; Twigg, Stephen R F; Wilkie, Andrew O M","Genetics in medicine : official journal of the American College of Medical Genetics","2026-09-08","https://pubmed.ncbi.nlm.nih.gov/42708327/","PURPOSE: Unravelling causal links between unique structural/copy-number variants (SV/CNV) and associated phenotypes is essential for correct genetic counselling. We investigated two families in which patients with craniosynostosis had SV/CNV potentially dysregulating a fibroblast growth factor (FGF)-encoding gene; a 730 kb dup(4)(q21.21) including FGF5; and a complex 568 kb interspersed 13q12.11 duplication, located 841 kb from FGF9. METHODS: We combined bioinformatic predictions of altered topologically-associating domain (TAD) structure, with experimental analysis (RNA- and ATAC- [assay for transposase-accessible chromatin] sequencing) of patient induced pluripotent stem cell lines (iPSCs) differentiated to neural crest (NCC) and osteoprogenitor (OPC) identities. For the dup(4)(q21.21) we generated a mouse bearing an equivalent rearrangement using CRISPR-Cas9 targeting. RESULTS: TAD analysis suggested potential dysregulation of the FGF5/FGF9 gene by bringing it into a novel genomic milieu. The RNA- and ATAC-seq assays demonstrated FGF5/FGF9 upregulation (2.7-18x) and local opening of chromatin, in 3/4 cell lines. For the dup(4)(q21.21), a causal role was supported by the mouse model, whereas interpretation of the 13q12.11 SV is confounded by a co-existing FOXP2 pathogenic variant. CONCLUSION: Patient iPSC-differentiated NCC and OPC lines, combined with TAD-based modelling to generate testable functional hypotheses, provide valuable functional evidence when evaluating causation of unique SV/CNV in craniosynostosis."
"pubmed","42707636","10.3389/fpls.2026.1903346","BioCNT-TLS engineered systemic mobile resistome for sustainable crop protection.","Li, Wenbo; Farooq, Tahir; Hussain, Muhammad Dilshad; Brosnan, Christopher A; Chen, Huanhuan","Frontiers in plant science","2026-09-08","https://pubmed.ncbi.nlm.nih.gov/42707636/","The global agricultural sector faces an existential threat from viral quasispecies that bypass traditional resistance through high-frequency mutation and rapid systemic colonization. Conventional strategies, including chemical pesticides and transgenic modifications, are increasingly constrained by environmental toxicity, regulatory hurdles, and the biological arms race of viral evasion. This review critically expands upon the transformative potential of biocompatible carbon nanotubes conjugated with tRNA-like structures as a non-transgenic, systemic delivery platform for RNA interference effectors. We analyze the mechanistic synergy between nanomaterial-mediated incorporation and vascular trafficking, proposing a systemic mobile resistome concept, in which BioCNT-TLS complexes may provide transgene-free, RNA-mediated interference distributed across aerial tissues from a single foliar application, an effect demonstrated in a single recent study and not yet validated at the whole-plant or field scale. By synthesizing data on RNAi pyramiding, spray-to-edit CRISPR technologies, and the ecotoxicological footprint of carbon nanomaterials, we provide a blueprint for the future of precision crop protection."
"pubmed","42702337","10.1016/j.imlet.2026.107238","Aire deficiency disrupts thymic architecture but preserves TCRVbeta repertoire diversity while altering thymic output.","Matos, Adriana Arruda; Araujo, Itaua Leston; Munuera, Matheus Dominato; Palma, Patricia Viana Bonini; Bonaldo, Camila; Brito, Leticia Agrelli; Mendes-da-Cruz, Daniella Areas; Savino, Wilson; Passos, Geraldo Aleixo; Donadi, Eduardo Antonio","Immunology letters","2026-09-06","https://pubmed.ncbi.nlm.nih.gov/42702337/","The autoimmune regulator (Aire) gene is essential for the establishment of central tolerance by promoting the ectopic expression of tissue-restricted antigens in medullary thymic epithelial cells (mTECs). Although Aire deficiency impairs negative selection, its impact on thymic architecture, output, and early T cell development remains incompletely understood. Here, we used a murine Aire-deficient model carrying a CRISPR-Cas9-induced deletion within exon 6, disrupting the SAND domain, to investigate the consequences of Aire loss on thymic structure and function. Aire-deficient mice exhibited focal alopecia and marked disorganization of the thymic medulla. T cell receptor excision circle (TREC) analyses revealed altered peripheral TREC dynamics and a reduced sj/betaTREC ratio, indicating altered thymic output and impaired intrathymic precursor expansion. Complementary flow-cytometric analysis showed a significant reduction in the proportion of CD4(+)CD8(+) double-positive thymocytes in heterozygous mutants, supporting altered intrathymic maturation. Serum IL-27, IL-28B, and IL-31 were decreased in homozygous mutants, whereas IL-22 and IL-23 remained unchanged. Despite these alterations, TCRVbeta repertoire sequencing revealed no significant differences in rearrangements, clonality, or V/J gene usage. Together, these findings indicate that Aire deficiency disrupts thymic architecture and output, while preserving overall TCR repertoire diversity."
"pubmed","42701979","10.1007/s00239-026-10344-1","Regulatory Evolution and the Genetic Basis of Human Brain Expansion.","Hettiarachchi, Nilmini","Journal of molecular evolution","2026-09-06","https://pubmed.ncbi.nlm.nih.gov/42701979/","The evolution of the human brain is characterized by profound changes in structure and function, despite relatively limited divergence in protein-coding genes compared to other primates. This paradox has led to increasing recognition of gene regulatory elements (GREs) as primary drivers of evolutionary innovation. In this review, we synthesize current knowledge on the role of conserved noncoding elements (CNEs), human accelerated regions (HARs), and transposable element (TE)-derived sequences in shaping gene regulatory networks (GRNs) underlying brain development. Comparative analyses across humans and closely related primates, including the chimpanzee, gorilla, and orangutan, reveal that while core regulatory architectures are highly conserved, subtle changes in regulatory elements drive species-specific gene expression patterns. We highlight how CNEs provide a stable regulatory framework, whereas HARs and TE-derived elements introduce lineage-specific modifications that fine-tune neurodevelopmental processes. Advances in functional genomics, including CRISPR-based perturbations, massively parallel reporter assays, and single-cell multi-omics, have enabled direct interrogation of regulatory function, linking sequence variation to cellular phenotypes. Furthermore, we discuss how regulatory evolution contributes to both cognitive innovation and susceptibility to neurological disorders. Despite significant progress, challenges remain in establishing causal relationships between regulatory variation and phenotypic outcomes. Future integration of multi-omics data and comparative models will be essential for resolving these complexities. Together, this review provides a comprehensive framework for understanding the molecular basis of primate brain evolution through the lens of gene regulation."
